Table,Column,Data Type,Is Nullable,Max Length
convite,CreatedOn,datetime2,NO,
convite,LastModifiedOn,datetime2,YES,
convite,ModifiedByUserId,uniqueidentifier,YES,
convite,EscritorioId,uniqueidentifier,YES,
convite,CreatedByUserId,uniqueidentifier,YES,
convite,DeletedByUserId,uniqueidentifier,YES,
convite,DeletedOn,datetime2,YES,
convite,RowVersion,timestamp,NO,
database_firewall_rules,id,int,NO,
database_firewall_rules,name,nvarchar,NO,128
database_firewall_rules,start_ip_address,varchar,NO,45
database_firewall_rules,end_ip_address,varchar,NO,45
database_firewall_rules,create_date,datetime,NO,
database_firewall_rules,modify_date,datetime,NO,
DocumentosDeRegulamentacao,Id,uniqueidentifier,NO,
DocumentosDeRegulamentacao,Nome,nvarchar,NO,-1
DocumentosDeRegulamentacao,Url,nvarchar,NO,-1
DocumentosDeRegulamentacao,CreatedOn,datetime2,NO,
DocumentosDeRegulamentacao,CreatedByUserId,uniqueidentifier,YES,
DocumentosDeRegulamentacao,LastModifiedOn,datetime2,YES,
DocumentosDeRegulamentacao,ModifiedByUserId,uniqueidentifier,YES,
DocumentosDeRegulamentacao,DeletedOn,datetime2,YES,
DocumentosDeRegulamentacao,DeletedByUserId,uniqueidentifier,YES,
empresa,Id,uniqueidentifier,NO,
empresa,CNPJ,varchar,YES,20
empresa,Razao_Social,varchar,YES,120
empresa,Nome_Fantasia,varchar,YES,50
empresa,Data_Constituicao,datetime2,YES,
empresa,Codigo_Atividade_Economica,varchar,YES,120
empresa,Faturamento_Medio_Mensal,decimal,YES,
empresa,Data_Referencia_Faturamento,datetime2,YES,
empresa,Valor_Patrimonial,decimal,YES,
empresa,Data_Referencia_Situacao_Patrimonial,datetime2,YES,
empresa,CreatedOn,datetime2,NO,
empresa,LastModifiedOn,datetime2,YES,
empresa,ModifiedByUserId,uniqueidentifier,YES,
empresa,CreatedByUserId,uniqueidentifier,YES,
empresa,DeletedByUserId,uniqueidentifier,YES,
empresa,DeletedOn,datetime2,YES,
empresa,RowVersion,timestamp,NO,
empresa_complemento,Id,uniqueidentifier,NO,
empresa_complemento,Nome_Tipo_societario,varchar,YES,50
empresa_complemento,Atividade_Principal,varchar,YES,30
empresa_complemento,Capital_Social,decimal,NO,
empresa_complemento,Regime_Tributario,int,YES,
empresa_complemento,Grupo_Economico,varchar,YES,30
empresa_complemento,IsAdministrador_Cartoes,bit,YES,
empresa_complemento,IsEmpresa_Trust,bit,YES,
empresa_complemento,IsFacilitadora_Pagamentos,bit,YES,
empresa_complemento,Natureza_Juridica,varchar,YES,10
empresa_complemento,Orgao_Regulador,int,NO,
empresa_complemento,Descricao_Receita_Renda,varchar,YES,100
empresa_complemento,Descricao_Patrimonio,varchar,YES,100
empresa_complemento,EmpresaId,uniqueidentifier,NO,
empresa_endereco,Id,uniqueidentifier,NO,
empresa_endereco,EmpresaId,uniqueidentifier,NO,
empresa_endereco,CEP,varchar,YES,8
empresa_endereco,Estado,varchar,YES,2
empresa_endereco,Cidade,varchar,YES,255
empresa_endereco,Pais,varchar,YES,45
empresa_endereco,Bairro,varchar,YES,255
empresa_endereco,Logradouro,varchar,YES,255
empresa_endereco,Numero,varchar,YES,15
empresa_endereco,Complemento,varchar,YES,200
empresa_endereco,Principal,bit,YES,
empresa_endereco,TipoEndereco,int,YES,
empresa_endereco,IsCEPValido,bit,YES,
empresa_telefone,Id,uniqueidentifier,NO,
empresa_telefone,EmpresaId,uniqueidentifier,NO,
empresa_telefone,CreatedOn,datetime2,NO,
empresa_telefone,LastModifiedOn,datetime2,YES,
empresa_telefone,ModifiedByUserId,uniqueidentifier,YES,
empresa_telefone,CodigoPais,bigint,YES,
empresa_telefone,DDD,bigint,YES,
empresa_telefone,Numero,decimal,YES,
empresa_telefone,Observacao,nvarchar,YES,255
empresa_telefone,Ramal,decimal,YES,
empresa_telefone,IsPrimary,bit,NO,
empresa_telefone,TipoTelefone,int,YES,
empresa_telefone,CreatedByUserId,uniqueidentifier,YES,
empresa_telefone,DeletedByUserId,uniqueidentifier,YES,
empresa_telefone,DeletedOn,datetime2,YES,
empresa_telefone,RowVersion,timestamp,NO,
escritorio,Id,uniqueidentifier,NO,
escritorio,CreatedOn,datetime2,NO,
escritorio,LastModifiedOn,datetime2,YES,
escritorio,ModifiedByUserId,uniqueidentifier,YES,
escritorio,Nome,nvarchar,YES,-1
escritorio,CreatedByUserId,uniqueidentifier,YES,
escritorio,DeletedByUserId,uniqueidentifier,YES,
escritorio,DeletedOn,datetime2,YES,
escritorio,RowVersion,timestamp,NO,
escritorio,Cnpj,nvarchar,YES,-1
escritorio,RazaoSocial,nvarchar,YES,-1
escritorio,NomeFantasia,nvarchar,YES,-1
escritorio,Cep,nvarchar,YES,-1
escritorio,Cidade,nvarchar,YES,-1
escritorio,Bairro,nvarchar,YES,-1
escritorio,Logradouro,nvarchar,YES,-1
escritorio,Numero,nvarchar,YES,-1
escritorio,Complemento,nvarchar,YES,-1
escritorio,Telefone,nvarchar,YES,-1
escritorio,Estado,char,YES,2
escritorio_assessor,Id,uniqueidentifier,NO,
escritorio_assessor,EscritorioId,uniqueidentifier,NO,
escritorio_assessor,AssessorId,uniqueidentifier,YES,
escritorio_assessor,IsAdmin,bit,NO,
escritorio_assessor,CreatedOn,datetime2,NO,
escritorio_assessor,LastModifiedOn,datetime2,YES,
escritorio_assessor,ModifiedByUserId,uniqueidentifier,YES,
escritorio_assessor,CreatedByUserId,uniqueidentifier,YES,
escritorio_assessor,DeletedByUserId,uniqueidentifier,YES,
escritorio_assessor,DeletedOn,datetime2,YES,
escritorio_assessor,RowVersion,timestamp,NO,
escritorio_investidor,Id,uniqueidentifier,NO,
escritorio_investidor,EscritorioId,uniqueidentifier,NO,
escritorio_investidor,InvestidorId,uniqueidentifier,NO,
escritorio_investidor,AssessorId,uniqueidentifier,YES,
escritorio_investidor,CreatedOn,datetime2,NO,
escritorio_investidor,LastModifiedOn,datetime2,YES,
escritorio_investidor,ModifiedByUserId,uniqueidentifier,YES,
escritorio_investidor,CreatedByUserId,uniqueidentifier,YES,
escritorio_investidor,DeletedByUserId,uniqueidentifier,YES,
escritorio_investidor,DeletedOn,datetime2,YES,
escritorio_investidor,RowVersion,timestamp,NO,
FilasDeEsperaView,Id,int,NO,
FilasDeEsperaView,Valor,decimal,NO,
FilasDeEsperaView,Status,nvarchar,NO,-1
FilasDeEsperaView,DataDeCriacao,datetime2,NO,
FilasDeEsperaView,InvestidorId,uniqueidentifier,NO,
FilasDeEsperaView,NomeDoInvestidor,nvarchar,YES,-1
FilasDeEsperaView,CampanhaId,int,NO,
FilasDeEsperaView,NomeDaCampanha,nvarchar,YES,-1
FilasDeEsperaView,AssessorId,uniqueidentifier,YES,
FilasDeEsperaView,NomeDoAssessor,nvarchar,YES,-1
FilasDeEsperaView,EscritorioId,uniqueidentifier,YES,
FilasDeEsperaView,NomeDoEscritorio,nvarchar,YES,-1
InformesDeRendimentos,Id,uniqueidentifier,NO,
InformesDeRendimentos,InvestidorId,uniqueidentifier,NO,
InformesDeRendimentos,Url,nvarchar,YES,-1
InformesDeRendimentos,EmailFoiEnviado,bit,NO,
InformesDeRendimentos,DataDeEnvioDoEmail,datetime2,YES,
InformesDeRendimentos,AnoCalendario,int,NO,
InformesDeRendimentos,Status,int,NO,
InformesDeRendimentos,DataDeAtualizacaoDoStatus,datetime2,NO,
InformesDeRendimentos,CreatedOn,datetime2,NO,
InformesDeRendimentos,CreatedByUserId,uniqueidentifier,YES,
InformesDeRendimentos,LastModifiedOn,datetime2,YES,
InformesDeRendimentos,ModifiedByUserId,uniqueidentifier,YES,
InformesDeRendimentos,DeletedOn,datetime2,YES,
InformesDeRendimentos,DeletedByUserId,uniqueidentifier,YES,
InformesDeRendimentos,RowVersion,timestamp,NO,
investidor,Id,uniqueidentifier,NO,
investidor,TipoCadastro,char,YES,2
investidor,Status,int,YES,
investidor,Observacao,nvarchar,YES,-1
investidor,Nome,nvarchar,YES,-1
investidor,IsAdministrador_De_Fundos_Carteiras_Administradas,bit,YES,
investidor,IsPessoa_Vinculada_Ao_Intermediario,bit,YES,
investidor,IsTransmissao_Ordens_Por_Procurador,bit,YES,
investidor,Email,varchar,YES,200
investidor,PessoaId,uniqueidentifier,YES,
investidor,EmpresaId,uniqueidentifier,YES,
investidor,CreatedOn,datetime2,NO,
investidor,LastModifiedOn,datetime2,YES,
investidor,ModifiedByUserId,uniqueidentifier,YES,
investidor,DataPerfilInvestimentoAceito,datetime2,YES,
investidor,IsPerfilInvestimentoAceito,bit,YES,
investidor,Origem,nvarchar,YES,-1
investidor,ADVICE_CD_CONTRAPARTE,varchar,YES,20
investidor,StatusBackoffice,int,YES,
investidor,ADVICE_PROTOCOLO,uniqueidentifier,YES,
investidor,AdviceStatus,int,YES,
investidor,Advice_Risco,int,YES,
investidor,AdviceStatusLastModifiedOn,datetime2,YES,
investidor,BEE4Status,int,YES,
investidor,BEE4StatusLastModifiedOn,datetime2,YES,
investidor,BEE4Status_Remoto,nvarchar,YES,-1
investidor,CreatedByUserId,uniqueidentifier,YES,
investidor,DeletedByUserId,uniqueidentifier,YES,
investidor,DeletedOn,datetime2,YES,
investidor,RowVersion,timestamp,NO,
investidor_administrador,Id,uniqueidentifier,NO,
investidor_administrador,Nome,varchar,YES,120
investidor_administrador,CPF,char,YES,11
investidor_administrador,IsPEP,bit,NO,
investidor_administrador,EmpresaId,uniqueidentifier,NO,
investidor_administrador,CreatedOn,datetime2,NO,
investidor_administrador,LastModifiedOn,datetime2,YES,
investidor_administrador,ModifiedByUserId,uniqueidentifier,YES,
investidor_administrador,CreatedByUserId,uniqueidentifier,YES,
investidor_administrador,DeletedByUserId,uniqueidentifier,YES,
investidor_administrador,DeletedOn,datetime2,YES,
investidor_administrador,RowVersion,timestamp,NO,
investidor_cadastro,Id,uniqueidentifier,NO,
investidor_cadastro,DataInicioCadastro,datetimeoffset,YES,
investidor_cadastro,DataCadastroDadosPessoais,datetimeoffset,YES,
investidor_cadastro,DataAtualizacaoDadosPessoais,datetimeoffset,YES,
investidor_cadastro,DataCadastroDadosAdicionais,datetimeoffset,YES,
investidor_cadastro,DataAtualizacaoDadosAdicionais,datetimeoffset,YES,
investidor_cadastro,DataCadastroSuitability,datetimeoffset,YES,
investidor_cadastro,DataAtualizacaoSuitability,datetimeoffset,YES,
investidor_cadastro,DataCadastroDocumentos,datetimeoffset,YES,
investidor_cadastro,DataAtualizacaoDocumentos,datetimeoffset,YES,
investidor_cadastro,DataAtualizacaoContrato,datetimeoffset,YES,
investidor_cadastro,DataFinalizacaoCadastro,datetimeoffset,YES,
investidor_cadastro,DataAtualizacaoCadastro,datetimeoffset,YES,
investidor_cadastro,DataAtualizacaoCadastroRegulatorio,datetimeoffset,YES,
investidor_complemento,Id,uniqueidentifier,NO,
investidor_complemento,grossIncome,nvarchar,YES,-1
investidor_complemento,biggestValue,decimal,YES,
investidor_complemento,anotherPlatform,nvarchar,YES,-1
investidor_complemento,platValue,decimal,YES,
investidor_complemento,politicExpose,bit,YES,
investidor_complemento,CreatedOn,datetime2,NO,
investidor_complemento,LastModifiedOn,datetime2,YES,
investidor_complemento,ModifiedByUserId,uniqueidentifier,YES,
investidor_complemento,CreatedByUserId,uniqueidentifier,YES,
investidor_complemento,DeletedByUserId,uniqueidentifier,YES,
investidor_complemento,DeletedOn,datetime2,YES,
investidor_complemento,DeclaroQueIreiAtualizarMinhasInformacoesNaBeegin,bit,YES,
investidor_complemento,ObservacoesDoBackoffice,nvarchar,NO,-1
investidor_complemento,RowVersion,timestamp,NO,
Investidor_Contratos,Id,uniqueidentifier,NO,
Investidor_Contratos,InvestidorId,uniqueidentifier,NO,
Investidor_Contratos,DataAssinatura,datetime2,NO,
Investidor_Contratos,ContratoId,int,NO,
Investidor_Contratos,CreatedOn,datetime2,NO,
Investidor_Contratos,LastModifiedOn,datetime2,YES,
Investidor_Contratos,ModifiedByUserId,uniqueidentifier,YES,
Investidor_Contratos,CreatedByUserId,uniqueidentifier,YES,
Investidor_Contratos,DeletedByUserId,uniqueidentifier,YES,
Investidor_Contratos,DeletedOn,datetime2,YES,
Investidor_Contratos,RowVersion,timestamp,NO,
investidor_controlador,Id,uniqueidentifier,NO,
investidor_controlador,Nome,varchar,YES,120
investidor_controlador,Documento,varchar,YES,20
investidor_controlador,Tipo,char,NO,2
investidor_controlador,IsPEP,bit,NO,
investidor_controlador,EmpresaId,uniqueidentifier,NO,
investidor_controlador,CreatedOn,datetime2,NO,
investidor_controlador,LastModifiedOn,datetime2,YES,
investidor_controlador,ModifiedByUserId,uniqueidentifier,YES,
investidor_controlador,CreatedByUserId,uniqueidentifier,YES,
investidor_controlador,DeletedByUserId,uniqueidentifier,YES,
investidor_controlador,DeletedOn,datetime2,YES,
investidor_controlador,RowVersion,timestamp,NO,
investidor_dadobancario,Id,uniqueidentifier,NO,
investidor_dadobancario,InvestidorId,uniqueidentifier,NO,
investidor_dadobancario,Nome_Banco,varchar,YES,150
investidor_dadobancario,Numero_Agencia,varchar,YES,10
investidor_dadobancario,Numero_Conta,varchar,YES,20
investidor_dadobancario,Numero_Banco,nvarchar,YES,-1
investidor_dadobancario,Numero_Conta_Digito,varchar,YES,10
investidor_documento,Id,uniqueidentifier,NO,
investidor_documento,InvestidorId,uniqueidentifier,NO,
investidor_documento,Tipo,int,NO,
investidor_documento,Url,nvarchar,YES,-1
investidor_documento,Nome,nvarchar,YES,-1
investidor_documento,IsObrigatorio,bit,NO,
investidor_documento,CreatedOn,datetime2,NO,
investidor_documento,LastModifiedOn,datetime2,YES,
investidor_documento,ModifiedByUserId,uniqueidentifier,YES,
investidor_documento,CreatedByUserId,uniqueidentifier,YES,
investidor_documento,DeletedByUserId,uniqueidentifier,YES,
investidor_documento,DeletedOn,datetime2,YES,
investidor_documento,DocumentoDeIdentificacao,int,YES,
investidor_documento,RowVersion,timestamp,NO,
investidor_integracao_advice_logs,Id,uniqueidentifier,NO,
investidor_integracao_advice_logs,InvestidorId,uniqueidentifier,NO,
investidor_integracao_advice_logs,Data,datetime2,NO,
investidor_integracao_advice_logs,Observacao,nvarchar,YES,-1
investidor_integracao_advice_logs,RequestBody,nvarchar,YES,-1
investidor_integracao_advice_logs,ResponseBody,nvarchar,YES,-1
investidor_integracao_advice_logs,HttpStatusCode,int,YES,
investidor_integracao_advice_logs,RunByUserId,uniqueidentifier,NO,
investidor_integracao_advice_logs,CreatedOn,datetime2,NO,
investidor_integracao_advice_logs,WebService_URL,nvarchar,YES,-1
investidor_integracao_advice_logs,Nome,nvarchar,YES,-1
investidor_investimento,id,int,NO,
investidor_investimento,InvestidorId,uniqueidentifier,YES,
investidor_investimento,AssessorId,uniqueidentifier,YES,
investidor_investimento,campaign_id,int,NO,
investidor_investimento,value,decimal,NO,
investidor_investimento,createdAt,datetime2,NO,
investidor_investimento,status,nvarchar,NO,-1
investidor_investimento,document,nvarchar,YES,-1
investidor_investimento,status_fitbank,nvarchar,YES,-1
investidor_investimento,contrato,nvarchar,YES,-1
investidor_investimento,DataDaUltimaValidacaoComFitbank,datetime2,YES,
investidor_investimento,CreatedByUserId,uniqueidentifier,YES,
investidor_investimento,CreatedOn,datetime2,NO,
investidor_investimento,DeletedByUserId,uniqueidentifier,YES,
investidor_investimento,DeletedOn,datetime2,YES,
investidor_investimento,LastModifiedOn,datetime2,YES,
investidor_investimento,ModifiedByUserId,uniqueidentifier,YES,
investidor_investimento,RowVersion,timestamp,NO,
investidor_suitability_resposta,Id,uniqueidentifier,NO,
investidor_suitability_resposta,InvestidorId,uniqueidentifier,NO,
investidor_suitability_resposta,RespostaId,int,NO,
investidor_suitability_resposta,CreatedOn,datetime2,NO,
investidor_suitability_resposta,LastModifiedOn,datetime2,YES,
investidor_suitability_resposta,ModifiedByUserId,uniqueidentifier,YES,
investidor_suitability_resposta,PerguntaId,int,NO,
investidor_suitability_resposta,CreatedByUserId,uniqueidentifier,YES,
investidor_suitability_resposta,DeletedByUserId,uniqueidentifier,YES,
investidor_suitability_resposta,DeletedOn,datetime2,YES,
investidor_suitability_resposta,RowVersion,timestamp,NO,
Investidores,Id,uniqueidentifier,NO,
Investidores,IdString,char,YES,36
Investidores,Nome,nvarchar,YES,-1
Investidores,DataCadastro,datetime2,NO,
Investidores,Documento,nvarchar,YES,450
Investidores,NomeRazaoSocial,nvarchar,YES,255
Investidores,Email,varchar,YES,200
Investidores,TipoCadastro,char,YES,2
Investidores,Status,varchar,YES,10
Investidores,StatusAdvice,varchar,NO,12
Investidores,StatusBackoffice,varchar,YES,10
Investidores,AdviceRisco,varchar,NO,40
Investidores,Bee4Status,varchar,NO,10
Investidores,BEE4Status_Remoto,nvarchar,YES,-1
Investidores,ADVICE_PROTOCOLO,uniqueidentifier,YES,
Investidores,UltimaAtualizacaoAdvice,datetime2,YES,
Investidores,UltimaAtualizacaoBee4,datetime2,YES,
Investidores,EmailConfirmed,bit,YES,
Investidores_Payment_Accounts,Id,uniqueidentifier,NO,
Investidores_Payment_Accounts,InvestidorId,uniqueidentifier,NO,
Investidores_Payment_Accounts,Numero_Banco,nvarchar,YES,-1
Investidores_Payment_Accounts,Numero_Agencia,nvarchar,YES,-1
Investidores_Payment_Accounts,Numero_Conta,nvarchar,YES,-1
Investidores_Payment_Accounts,Numero_Conta_Digito,nvarchar,YES,-1
InvestidoresView,Id,uniqueidentifier,NO,
InvestidoresView,Nome,nvarchar,YES,-1
InvestidoresView,Email,varchar,YES,200
InvestidoresView,CpfOuCnpj,nvarchar,YES,450
InvestidoresView,AssessorId,uniqueidentifier,YES,
